activation,n_positive,n_negative,lower_lr,upper_lr,total_loss
relu,1,7,-4,-1,0.492216796875
relu,1,7,-4,0,0.5270703125
relu,4,7,-4,-4,0.4935693359375
relu,4,7,-4,-3,0.52833984375
relu,4,7,-4,-2,0.50876953125
relu,4,7,-4,-1,0.4286962890625
relu,4,7,-4,0,0.3479541015625
relu,7,7,-4,-4,0.506337890625
relu,7,7,-4,-3,0.4986181640625
relu,7,7,-4,-2,0.46599609375
relu,7,7,-4,-1,0.4436962890625
relu,7,7,-4,0,0.35951171875
relu,1,1,-3,-3,0.84125
relu,1,1,-3,-2,0.82572265625
relu,1,1,-3,-1,0.9181884765625
relu,1,1,-3,0,0.8361083984375
relu,4,1,-3,-3,0.664384765625
relu,4,1,-3,-2,0.696484375
relu,4,1,-3,-1,0.6190625
relu,4,1,-3,0,0.6744287109375
relu,7,1,-3,-3,0.61693359375
relu,7,1,-3,-2,0.6014892578125
relu,7,1,-3,-1,0.565712890625
relu,7,1,-3,0,0.5371826171875
relu,1,4,-3,-3,0.68490234375
relu,1,4,-3,-2,0.66091796875
relu,1,4,-3,-1,0.620166015625
relu,1,4,-3,0,0.6106640625
relu,4,4,-3,-3,0.619677734375
relu,4,4,-3,-2,0.6011669921875
relu,4,4,-3,-1,0.41931640625
relu,4,4,-3,0,0.4627783203125
relu,7,4,-3,-3,0.5512841796875
relu,7,4,-3,-2,0.5592724609375
relu,7,4,-3,-1,0.4151904296875
relu,7,4,-3,0,0.326328125
relu,1,7,-3,-3,0.581298828125
relu,1,7,-3,-2,0.6143994140625
relu,1,7,-3,-1,0.57109375
relu,1,7,-3,0,0.526201171875
relu,4,7,-3,-3,0.540283203125
relu,4,7,-3,-2,0.53361328125
relu,4,7,-3,-1,0.4166845703125
relu,4,7,-3,0,0.37564453125
relu,7,7,-3,-3,0.5219482421875
relu,7,7,-3,-2,0.517294921875
relu,7,7,-3,-1,0.3714208984375
relu,7,7,-3,0,0.3797314453125
relu,1,1,-2,-2,0.624716796875
relu,1,1,-2,-1,0.6494921875
relu,1,1,-2,0,0.63619140625
relu,4,1,-2,-2,0.6882958984375
relu,4,1,-2,-1,0.5101318359375
relu,4,1,-2,0,0.5619287109375
relu,7,1,-2,-2,0.63318359375
relu,7,1,-2,-1,0.539072265625
relu,7,1,-2,0,0.523037109375
relu,1,4,-2,-2,0.60890625
relu,1,4,-2,-1,0.5225341796875
relu,1,4,-2,0,0.5769189453125
relu,4,4,-2,-2,0.5406689453125
relu,4,4,-2,-1,0.4158056640625
relu,4,4,-2,0,0.3709716796875
relu,7,4,-2,-2,0.4924072265625
relu,7,4,-2,-1,0.363994140625
relu,7,4,-2,0,0.339462890625
relu,1,7,-2,-2,0.6091259765625
relu,1,7,-2,-1,0.5193701171875
relu,1,7,-2,0,0.4912451171875
relu,4,7,-2,-2,0.5106689453125
relu,4,7,-2,-1,0.37060546875
relu,4,7,-2,0,0.33330078125
relu,7,7,-2,-2,0.49169921875
relu,7,7,-2,-1,0.312490234375
relu,7,7,-2,0,0.2994873046875
relu,1,1,-1,-1,0.44337890625
relu,1,1,-1,0,0.4448046875
relu,4,1,-1,-1,0.4220263671875
relu,4,1,-1,0,0.389521484375
relu,7,1,-1,-1,0.4178173828125
relu,7,1,-1,0,0.4431494140625
relu,1,4,-1,-1,0.433349609375
relu,1,4,-1,0,0.4120751953125
relu,4,4,-1,-1,0.3053466796875
relu,4,4,-1,0,0.343330078125
relu,7,4,-1,-1,0.27724609375
relu,7,4,-1,0,0.2787744140625
relu,1,7,-1,-1,0.4426806640625
relu,1,7,-1,0,0.434599609375
relu,4,7,-1,-1,0.2970849609375
relu,4,7,-1,0,0.278916015625
relu,7,7,-1,-1,0.25798828125
relu,7,7,-1,0,0.224716796875
relu,1,1,0,0,0.999970703125
relu,4,1,0,0,0.5136474609375
relu,7,1,0,0,0.4611572265625
relu,1,4,0,0,0.741748046875
relu,4,4,0,0,0.391435546875
relu,7,4,0,0,0.279423828125
relu,1,7,0,0,0.4531298828125
relu,4,7,0,0,0.345908203125
relu,7,7,0,0,0.29556640625
linear,1,1,-6,-6,0.4917431640625
linear,1,1,-6,-5,0.4908349609375
linear,1,1,-6,-4,0.508935546875
linear,1,1,-6,-3,0.5170068359375
linear,1,1,-6,-2,0.4903955078125
linear,1,1,-6,-1,0.489599609375
linear,1,1,-6,0,0.511669921875
linear,4,1,-6,-6,0.4933447265625
linear,4,1,-6,-5,0.48314453125
linear,4,1,-6,-4,0.4993359375
linear,4,1,-6,-3,0.4853173828125
linear,4,1,-6,-2,0.4217822265625
linear,4,1,-6,-1,0.3693603515625
linear,4,1,-6,0,0.38466796875
linear,7,1,-6,-6,0.5010595703125
linear,7,1,-6,-5,0.505966796875
linear,7,1,-6,-4,0.4956591796875
linear,7,1,-6,-3,0.4911376953125
linear,7,1,-6,-2,0.4749560546875
linear,7,1,-6,-1,0.427021484375
linear,7,1,-6,0,0.3788623046875
linear,1,4,-6,-6,0.5079345703125
linear,1,4,-6,-5,0.5075634765625
linear,1,4,-6,-4,0.49470703125
linear,1,4,-6,-3,0.4917138671875
linear,1,4,-6,-2,0.44248046875
linear,1,4,-6,-1,0.38068359375
linear,1,4,-6,0,0.3871044921875
linear,4,4,-6,-6,0.5113623046875
linear,4,4,-6,-5,0.50140625
linear,4,4,-6,-4,0.488330078125
linear,4,4,-6,-3,0.4873876953125
linear,4,4,-6,-2,0.4310888671875
linear,4,4,-6,-1,0.39123046875
linear,4,4,-6,0,0.3854833984375
linear,7,4,-6,-6,0.4885107421875
linear,7,4,-6,-5,0.4957568359375
linear,7,4,-6,-4,0.506357421875
linear,7,4,-6,-3,0.4910107421875
linear,7,4,-6,-2,0.451865234375
linear,7,4,-6,-1,0.3955322265625
linear,7,4,-6,0,0.374873046875
linear,1,7,-6,-6,0.5030224609375
linear,1,7,-6,-5,0.5155517578125
linear,1,7,-6,-4,0.4998193359375
linear,1,7,-6,-3,0.4831298828125
linear,1,7,-6,-2,0.449755859375
linear,1,7,-6,-1,0.395478515625
linear,1,7,-6,0,0.382958984375
linear,4,7,-6,-6,0.5025048828125
linear,4,7,-6,-5,0.4783251953125
linear,4,7,-6,-4,0.4861474609375
linear,4,7,-6,-3,0.4901708984375
linear,4,7,-6,-2,0.4491943359375
linear,4,7,-6,-1,0.3880078125
linear,4,7,-6,0,0.3872314453125
linear,7,7,-6,-6,0.49388671875
linear,7,7,-6,-5,0.4977783203125
linear,7,7,-6,-4,0.494296875
linear,7,7,-6,-3,0.5140771484375
linear,7,7,-6,-2,0.4517626953125
linear,7,7,-6,-1,0.4197900390625
linear,7,7,-6,0,0.3934228515625
linear,1,1,-5,-5,0.505322265625
linear,1,1,-5,-4,0.50626953125
linear,1,1,-5,-3,0.508076171875
linear,1,1,-5,-2,0.5097998046875
linear,1,1,-5,-1,0.500517578125
linear,1,1,-5,0,0.4833251953125
linear,4,1,-5,-5,0.4969873046875
linear,4,1,-5,-4,0.5085302734375
linear,4,1,-5,-3,0.49650390625
linear,4,1,-5,-2,0.430341796875
linear,4,1,-5,-1,0.3525
linear,4,1,-5,0,0.3772314453125
linear,7,1,-5,-5,0.506337890625
linear,7,1,-5,-4,0.4939013671875
linear,7,1,-5,-3,0.4920703125
linear,7,1,-5,-2,0.44142578125
linear,7,1,-5,-1,0.3936328125
linear,7,1,-5,0,0.36251953125
linear,1,4,-5,-5,0.4839501953125
linear,1,4,-5,-4,0.4884619140625
linear,1,4,-5,-3,0.508525390625
linear,1,4,-5,-2,0.4369384765625
linear,1,4,-5,-1,0.36689453125
linear,1,4,-5,0,0.378935546875
linear,4,4,-5,-5,0.4923583984375
linear,4,4,-5,-4,0.502216796875
linear,4,4,-5,-3,0.4799560546875
linear,4,4,-5,-2,0.431142578125
linear,4,4,-5,-1,0.34291015625
linear,4,4,-5,0,0.3638916015625
linear,7,4,-5,-5,0.50767578125
linear,7,4,-5,-4,0.49587890625
linear,7,4,-5,-3,0.4827001953125
linear,7,4,-5,-2,0.429072265625
linear,7,4,-5,-1,0.3927392578125
linear,7,4,-5,0,0.3591455078125
linear,1,7,-5,-5,0.497431640625
linear,1,7,-5,-4,0.494921875
linear,1,7,-5,-3,0.48806640625
linear,1,7,-5,-2,0.452734375
linear,1,7,-5,-1,0.3734619140625
